"","Method","n","model","penalty","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"Wn","Wn","200","1","SCAD",1,1,0.038,0.044,0.048,0.036,0.033,0.037,0.038,0.042
"TNL","TNL","200","1","SCAD",1,1,0.051,0.049,0.057,0.042,0.041,0.057,0.062,0.06
"Wn.1","Wn","400","1","SCAD",1,1,0.048,0.04,0.034,0.049,0.045,0.037,0.042,0.043
"TNL.1","TNL","400","1","SCAD",1,1,0.063,0.05,0.046,0.057,0.047,0.042,0.044,0.054
"Wn.2","Wn","200","2","SCAD",1,1,0.809,0.824,0.034,0.043,0.04,0.034,0.04,0.028
"TNL.2","TNL","200","2","SCAD",1,1,0.096,0.104,0.059,0.053,0.056,0.048,0.054,0.048
"Wn.3","Wn","400","2","SCAD",1,1,0.987,0.992,0.035,0.039,0.047,0.053,0.035,0.036
"TNL.3","TNL","400","2","SCAD",1,1,0.152,0.151,0.05,0.07,0.049,0.047,0.051,0.051
"Wn.4","Wn","200","3","SCAD",1,0.031,0.979,0.041,0.03,0.029,0.022,0.03,0.036,1
"TNL.4","TNL","200","3","SCAD",0.281,0.049,0.419,0.048,0.056,0.055,0.057,0.053,0.049,0.256
"Wn.5","Wn","400","3","SCAD",1,0.019,0.999,0.02,0.024,0.027,0.027,0.03,0.023,1
"TNL.5","TNL","400","3","SCAD",0.334,0.057,0.408,0.047,0.05,0.055,0.058,0.05,0.039,0.32
