"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"Size","1","Chi","0.046","0.046","1","$***$","$***$","$***$","$***$","1","$***$","$***$","$***$","$***$"
"Size.1","1","Mixture","0.052","0.053","1","$***$","$***$","$***$","$***$","1","$***$","$***$","$***$","$***$"
"Size.2","1","MSN","0.049","0.05","1","$***$","$***$","$***$","$***$","1","$***$","$***$","$***$","$***$"
"Size.3","1","MVN","0","0","1","$***$","$***$","$***$","$***$","1","$***$","$***$","$***$","$***$"
"Size.4","1","Tdist","0.062","0.036","1","$***$","$***$","$***$","$***$","1","$***$","$***$","$***$","$***$"
"Size.5","2","Chi","0.041","0.058","1","0.993","$***$","$***$","$***$","0.996","0.004","$***$","$***$","$***$"
"Size.6","2","Mixture","0.048","0.048","1","0.997","$***$","$***$","$***$","0.993","0.564","$***$","$***$","$***$"
"Size.7","2","MSN","0.048","0.049","1","1","$***$","$***$","$***$","1","0.254","$***$","$***$","$***$"
"Size.8","2","MVN","0.06","0.045","1","1","$***$","$***$","$***$","1","0.056","$***$","$***$","$***$"
"Size.9","2","Tdist","0.04","0.075","1","1","$***$","$***$","$***$","1","0.064","$***$","$***$","$***$"
"Size.10","3","Chi","0.032","0.051","0.999","1","1","$***$","$***$","0.202","0.209","0.301","$***$","$***$"
"Size.11","3","Mixture","0.049","0.046","1","0.991","0.998","$***$","$***$","0.85","0.647","0.876","$***$","$***$"
"Size.12","3","MSN","0.053","0.057","1","1","1","$***$","$***$","0.784","0.808","0.973","$***$","$***$"
"Size.13","3","MVN","0.052","0.05","1","1","1","$***$","$***$","0.836","0.805","0.971","$***$","$***$"
"Size.14","3","Tdist","0.029","0.269","1","1","1","$***$","$***$","0.385","0.374","0.442","$***$","$***$"
"Size.15","4","Chi","0.031","0.058","0.77","1","1","0.219","$***$","0.039","0.482","0.448","0.049","$***$"
"Size.16","4","Mixture","0.031","0.053","0.997","1","0.797","0.978","$***$","0.951","1","0.85","0.883","$***$"
"Size.17","4","MSN","0.04","0.053","1","1","0.927","0.999","$***$","0.962","1","0.899","0.931","$***$"
"Size.18","4","MVN","0.042","0.048","1","1","0.916","0.998","$***$","0.975","1","0.897","0.93","$***$"
"Size.19","4","Tdist","0.045","0.231","0.999","1","0.87","0.962","$***$","0.296","0.721","0.412","0.279","$***$"
"Size.20","5","Chi","0.031","0.055","0.613","1","1","0.333","0.032","0.047","0.401","0.524","0.045","0.046"
"Size.21","5","Mixture","0.036","0.05","0.891","0.997","0.996","0.818","0.983","0.747","0.982","0.991","0.679","0.879"
"Size.22","5","MSN","0.05","0.047","0.928","1","1","0.932","1","0.719","0.994","0.997","0.732","0.935"
"Size.23","5","MVN","0.046","0.047","0.967","1","1","0.935","1","0.778","0.995","0.997","0.734","0.932"
"Size.24","5","Tdist","0.036","0.236","0.884","1","0.998","0.758","0.958","0.281","0.618","0.534","0.273","0.23"
